分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
Zookeeper,僵尸进程（Z 状态）,Zookeeper Leader 所在的节点上 zookeeper 进程进入 Z 状态,,P1,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程进入 Z 状态,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进入 Z 状态,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 进程同时进入 Z 状态,,P2,Pending,,,,,
Zookeeper,进程卡死不响应,Zookeeper Leader 所在的节点上 zookeeper 进程卡死不响应,,P1,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程卡死不响应,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 进程同时卡死不响应,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 进程同时卡死不响应,,P2,Pending,,,,,
Zookeeper,服务异常,任意一个运行 Zookeeper 服务的节点上 zookeeper 服务发生重启,,P1,Automated,testcases.fault.node.service.fault_service_restart,,,,
Zookeeper,,Zookeeper Leader 所在的节点上 zookeeper 服务处于停止状态，持续 5～60 分钟,systemctl stop zookeeper.service,P1,Automated,testcases.fault.node.service.fault_service_outage,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 服务处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,Y,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 服务同时处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 服务同时处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
Zookeeper,,任意一个运行 Zookeeper 服务的节点上 zookeeper 服务持续重启，间隔随机时间，持续 5 ～ 60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
Zookeeper,,一个存储节点上 zookeeper 服务处于运行状态,systemctl start zookeeper.service,P3,Plan to Automate,,,,,
Zookeeper,CPU 资源消耗高（随机持续时间）,Zookeeper Leader 所在的节点上 zookeeper 进程的 CPU 资源消耗持续处于高水位,,P1,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
Zookeeper,,（5 节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上同时 zookeeper 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
Zookeeper,,（5 节点集群或双活集群）两个 Zookeeper Follower 所在的节点上同时 zookeeper 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
Zookeeper,内存资源消耗高（随机持续时间）,Zookeeper Leader 所在的节点上 zookeeper 进程的内存消耗消耗处于高水位,,P1,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
Zookeeper,,（5 节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上同时 zookeeper 进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
Zookeeper,,（5 节点集群或双活集群）两个 Zookeeper Follower 所在的节点上同时 zookeeper 进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
Zookeeper,切主,Zookeeper 发生一次切主,,P1,Automated,testcases.fault.node.service.fault_service_restart,,,,Y
Zookeeper,,Zookeeper 频繁切主，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_restart,,,,
Zookeeper,数据误删除,Zookeeper Leader 所在的节点上 zookeeper 的数据被误删除,"删除 /var/lib/zbs/metad/zookeeper 目录下的所有数据
（双活集群的仲裁节点上是 /var/lib/zookeeper）",P1,Plan to Automate,,,Y,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 的数据被误删除,,P1,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 的数据同时被误删除,,P2,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 的数据同时被误删除,,P2,Plan to Automate,,,,,
Zookeeper,数据文件只读,Zookeeper Leader 所在的节点上 zookeeper 的数据文件只读,"/var/lib/zbs/metad/zookeeper 目录只读
（双活集群的仲裁节点上是 /var/lib/zookeeper）",P2,Pending,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件只读,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件同时只读,,P2,Pending,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件同时只读,,P2,Pending,,,,,
Zookeeper,存储空间耗尽,Zookeeper Leader 所在的节点上 zookeeper 的数据文件目录所在的文件系统存储空间耗尽,"/var/lib/zbs/metad/zookeeper 目录所在的文件系统写满
（双活集群的仲裁节点上是 /var/lib/zookeeper）",P1,Plan to Automate,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件目录所在的文件系统存储空间耗尽,,P1,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件目录所在的文件系统同时存储空间耗尽,,P2,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上 zookeeper 的数据文件目录所在的文件系统同时存储空间耗尽,,P2,Plan to Automate,,,,,
Zookeeper,连接数打满,Zookeeper Leader 所在的节点上 zookeeper 连接数打满,https://github.com/brownsys/zookeeper-benchmark,P1,Plan to Automate,,,,,
Zookeeper,,一个 Zookeeper Follower 所在的节点上 zookeeper 连接数打满,,P2,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）Zookeeper Leader 所在的节点和一个 Zookeeper Follower 所在的节点上同时 zookeeper 连接数打满,,P2,Plan to Automate,,,,,
Zookeeper,,（5 主节点集群或双活集群）两个 Zookeeper Follower 所在的节点上同时 zookeeper 连接数打满,,P2,Plan to Automate,,,,,
Zookeeper,,Zookeeper Leader 所在的节点和全部 Zookeeper Follower 所在的节点上同时 zookeeper 连接数打满,,P2,Plan to Automate,,,,,
MongoDB,kill -9,Primary 所在的节点上 kill -9 mongod 的 container 进程, kill -9 <pid>,P0,Automated,testcases.fault.node.service.fault_sigkill_process,,Y,,
MongoDB,,持续 kill -9 Primary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P1,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,,一个 Secondary 所在的节点上 kill -9 mongod 的 container 进程,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,Y,,
MongoDB,,持续 kill -9 一个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上同时 kill -9 mongod 的 container 进程,,P1,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,,（5 主节点集群或双活集群）持续同时 kill -9 Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上同时 kill -9 mongod 的 container 进程,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,,（5 主节点集群或双活集群）持续同时 kill -9 两个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
MongoDB,kill -15,Primary 所在的节点上 kill -15 mongod 的 container 进程,kill -15 <pid>,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,持续 kill -15 Primary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,一个 Secondary 所在的节点上 kill -15 mongod 的 container 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,持续 kill -15 一个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上同时 kill -15 mongod 的 container 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,（5 主节点集群或双活集群）持续同时 kill -15 Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上同时 kill -15 mongod 的 container 进程,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,,（5 主节点集群或双活集群）持续同时 kill -15 两个 Secondary 所在的节点上 mongod 的 container 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
MongoDB,不可中断的睡眠状态（D 状态）,Primary 所在的节点上 mongod 的 container 进程进入 D 状态,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container 进程进入 D 状态,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程同时进入 D 状态,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 mongod 的 container 进程同时进入 D 状态,,P2,Pending,,,,,
MongoDB,进程挂起（SIGSTOP）,Primary 所在的节点上 mongod 的 container 进程挂起（kill -19）,kill -SIGSTOP <pid>,P1,Automated,testcases.fault.node.service.fault_pause_process,,Y,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container 进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,Y,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程同时进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 mongod 的 container 进程同时进程挂起（kill -19）,,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
MongoDB,僵尸进程（Z 状态）,Primary 所在的节点上 mongod 的 container 进程进入 Z 状态,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container 进程进入 Z 状态,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程同时进入 Z 状态,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 mongod 的 container 进程同时进入 Z 状态,,P2,Pending,,,,,
MongoDB,进程卡死不响应,Primary 所在的节点上 mongod 的 container 进程卡死不响应,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container 进程卡死不响应,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 mongod 的 container 进程同时卡死不响应,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 mongod 的 container 进程同时卡死不响应,,P2,Pending,,,,,
MongoDB,服务异常,任意一个运行 mongod 服务的节点上 mongod 服务发生重启,,P1,Automated,testcases.fault.node.service.fault_service_restart,,,,
MongoDB,,Primary 所在的节点上 mongod 服务处于停止状态，持续 5～60 分钟,systemctl stop mongod.service,P1,Automated,testcases.fault.node.service.fault_service_outage,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 服务处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 mongod 服务同时处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 mongod 服务同时处于停止状态，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
MongoDB,,任意一个运行 mongod 服务的节点上 mongod 服务持续重启，间隔随机时间，持续 5 ～ 60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
MongoDB,,一个存储节点上 mongod 服务处于运行状态,systemctl start mongod.service,P3,Plan to Automate,,,,,
MongoDB,CPU 资源消耗高（随机持续时间）,Primary 所在的节点上 mongod 的 container  进程的 CPU 资源消耗持续处于高水位,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container  进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
MongoDB,,（5 节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上同时 mongod 的 container  进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
MongoDB,,（5 节点集群或双活集群）两个 Secondary 所在的节点上同时 mongod 的 container  进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
MongoDB,内存资源消耗高（随机持续时间）,Primary 所在的节点上 mongod 的 container  进程的内存消耗消耗处于高水位,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 mongod 的 container  进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
MongoDB,,（5 节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上同时 mongod 的 container  进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
MongoDB,,（5 节点集群或双活集群）两个 Secondary 所在的节点上同时 mongod 的 container  进程的内存消耗消耗处于高水位,,P2,Pending,,,,,
MongoDB,切主,MongoDB Replica Set 发生一次切主,,P1,Automated,testcases.fault.node.service.fault_service_restart,,,,Y
MongoDB,,MongoDB Replica Set 频繁切主，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_restart,,,,
MongoDB,数据误删除,Primary 所在的节点上 MongoDB 的数据被误删除,删除 /var/lib/mongodb 目录下的所有数据,P1,Plan to Automate,,,,,
MongoDB,,一个 Secondary 所在的节点上 MongoDB 的数据被误删除,,P1,Plan to Automate,,,Y,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 MongoDB 的数据同时被误删除,,P2,Plan to Automate,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 MongoDB 的数据同时被误删除,,P2,Plan to Automate,,,,,
MongoDB,数据文件只读,Primary 所在的节点上 MongoDB 的数据文件只读,/var/lib/mongodb 目录只读,P2,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 MongoDB 的数据文件只读,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 MongoDB 的数据文件同时只读,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 MongoDB 的数据文件同时只读,,P2,Pending,,,,,
MongoDB,存储空间耗尽,Primary 所在的节点上 MongoDB 的数据文件目录所在的文件系统存储空间耗尽,/var/lib/mongodb 目录所在的文件系统写满,P1,Plan to Automate,,,,,
MongoDB,,一个 Secondary 所在的节点上 MongoDB 的数据文件目录所在的文件系统存储空间耗尽,,P1,Plan to Automate,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上 MongoDB 的数据文件目录所在的文件系统同时存储空间耗尽,,P2,Plan to Automate,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上 MongoDB 的数据文件目录所在的文件系统同时存储空间耗尽,,P2,Plan to Automate,,,,,
MongoDB,Oplog size 超过限制,Primary 的 oplog size 超过限制，无法继续写入,,P2,Pending,,,,,
MongoDB,连接数打满,Primary 所在的节点上 MongoDB 连接数打满,,P1,Pending,,,,,
MongoDB,,一个 Secondary 所在的节点上 MongoDB 连接数打满,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）Primary 所在的节点和一个 Secondary 所在的节点上同时 MongoDB 连接数打满,,P2,Pending,,,,,
MongoDB,,（5 主节点集群或双活集群）两个 Secondary 所在的节点上同时 MongoDB 连接数打满,,P2,Pending,,,,,
MongoDB,,Primary 所在的节点和全部 Secondary 所在的节点上同时 MongoDB 连接数打满,,P2,Pending,,,,,
MongoDB,数据同步时延过大,Primary 和一个 Secondary 间数据同步时延过大,,P1,Pending,,,,,
MongoDB,,Primary 和全部 Secondary 间数据同步时延过大,,P2,Pending,,,,,
MongoDB,慢查询堆积,Primary 上慢查询堆积,,P1,Pending,,,,,
MongoDB,,一个 Secondary 上慢查询堆积,,P1,Pending,,,,,
MongoDB,,全部 Secondary 上慢查询堆积,,P2,Pending,,,,,
MongoDB,,Primary 和全部 Secondary 上慢查询堆积,,P2,Pending,,,,,
MongoDB,Primary 只读,Primary 只读,,P2,Pending,,,,,
nginx,kill -9,任意一个节点上 kill -9 nginx 进程,kill -9 <pid>,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,,持续 kill -9 任意一个节点上的 nginx 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,kill -15,任意一个节点上 kill -15 nginx 进程,kill -15 <pid>,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,,持续 kill -15 任意一个节点上的 nginx 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,不可中断的睡眠状态（D 状态）,任意一个节点上 nginx 进程进入 D 状态,,P2,Pending,,,,,
,进程挂起（SIGSTOP）,任意一个节点上 nginx 进程挂起（kill -19）,kill -SIGSTOP <pid>,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
,僵尸进程（Z 状态）,任意一个节点上 nginx 进程进入 Z 状态,,P2,Pending,,,,,
,进程卡死不响应,任意一个节点上 nginx 进程卡死不响应,,P2,Pending,,,,,
,服务异常,任意一个节点上 nginx 服务发生重启,,P2,Automated,testcases.fault.node.service.fault_service_restart,,,,
,,任意一个节点上 nginx 服务处于停止状态，持续 5～60 分钟,systemctl stop nginx.service,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,,任意一个节点上 nginx 服务持续重启，间隔随机时间，持续 5 ～ 60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,CPU 资源消耗高（随机持续时间）,任意一个节点上 nginx 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
,内存资源消耗高（随机持续时间）,任意一个节点上 nginx 进程的内存资源消耗持续处于高水位,,P2,Pending,,,,,
ntpd,kill -9,任意一个节点上 kill -9 ntpd 进程,kill -9 <pid>,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,,持续 kill -9 任意一个节点上的 ntpd 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,kill -15,任意一个节点上 kill -15 ntpd 进程,kill -15 <pid>,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,,持续 kill -15 任意一个节点上的 ntpd 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,不可中断的睡眠状态（D 状态）,任意一个节点上 ntpd 进程进入 D 状态,,P2,Pending,,,,,
,进程挂起（SIGSTOP）,任意一个节点上 ntpd 进程挂起（kill -19）,kill -SIGSTOP <pid>,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
,僵尸进程（Z 状态）,任意一个节点上 ntpd 进程进入 Z 状态,,P2,Pending,,,,,
,进程卡死不响应,任意一个节点上 ntpd 进程卡死不响应,,P2,Pending,,,,,
,服务异常,任意一个节点上 ntpd 服务发生重启,,P2,Automated,testcases.fault.node.service.fault_service_restart,,,,
,,任意一个节点上 ntpd 服务处于停止状态，持续 5～60 分钟,systemctl stop ntpd.service,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,,任意一个节点上 ntpd 服务持续重启，间隔随机时间，持续 5 ～ 60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,CPU 资源消耗高（随机持续时间）,任意一个节点上 ntpd 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
,内存资源消耗高（随机持续时间）,任意一个节点上 ntpd 进程的内存资源消耗持续处于高水位,,P2,Pending,,,,,
libvirtd,kill -9,任意一个节点上 kill -9 libvirtd 进程,kill -9 <pid>,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,,持续 kill -9 任意一个节点上的 libvirtd 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
,kill -15,任意一个节点上 kill -15 libvirtd 进程,kill -15 <pid>,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,,持续 kill -15 任意一个节点上的 libvirtd 进程，持续 5～60 分钟,,P2,Automated,testcases.fault.node.service.fault_sigterm_process,,,,
,不可中断的睡眠状态（D 状态）,任意一个节点上 libvirtd 进程进入 D 状态,,P2,Pending,,,,,
,进程挂起（SIGSTOP）,任意一个节点上 libvirtd 进程挂起（kill -19）,kill -SIGSTOP <pid>,P2,Automated,testcases.fault.node.service.fault_pause_process,,,,
,僵尸进程（Z 状态）,任意一个节点上 libvirtd 进程进入 Z 状态,,P2,Pending,,,,,
,进程卡死不响应,任意一个节点上 libvirtd 进程卡死不响应,,P2,Pending,,,,,
,服务异常,任意一个节点上 libvirtd 服务发生重启,,P1,Automated,testcases.fault.node.service.fault_service_restart,,,,
,,任意一个节点上 libvirtd 服务处于停止状态，持续 5～60 分钟,systemctl stop libvirtd.service,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,,任意一个节点上 libvirtd 服务持续重启，间隔随机时间，持续 5 ～ 60 分钟,,P2,Automated,testcases.fault.node.service.fault_service_outage,,,,
,,双活集群的仲裁节点上 libvirtd 服务处于运行状态,systemctl start libvirtd.service,P3,Plan to Automate,,,,,
,CPU 资源消耗高（随机持续时间）,任意一个节点上 libvirtd 进程的 CPU 资源消耗持续处于高水位,,P2,Pending,,,,,
,内存资源消耗高（随机持续时间）,任意一个节点上 libvirtd 进程的内存资源消耗持续处于高水位,,P2,Pending,,,,,
prometheus,kill -9,运行 Prometheus 服务的节点上 kill -9 prometheus 进程,kill -9 <pid>,P2,Automated,testcases.fault.node.service.fault_sigkill_process,,,,
