分类,故障模式,故障场景,故障注入手段,优先级,自动化状态,自动化用例路径,SMTX OS 5.1.0 测试,SMTX OS 5.0.6 测试,SMTX OS 5.1.1 测试,SMTX OS 6.0.0 测试
网络隔离,断网（随机持续时间）,一个 Zookeeper Follower 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Zookeeper Follower 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Zookeeper Follower 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Taskd Leader 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Taskd Leader 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Taskd Leader 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS Taskd Leader 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Taskd Follower 所在的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Taskd Follower 所在的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Taskd Follower 所在的节点的迁移网络断网,iptables -A INPUT -i <interface> -j REJECT,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS Taskd Follower 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS NTPd Leader 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS NTPd Leader 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS NTPd Leader 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,ZBS NTPd Leader 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS NTPd Follower 所在的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS NTPd Follower 所在的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS NTPd Follower 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 ZBS NTPd Follower 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Primary MongoDB 所在的节点的管理网络断网,,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Primary MongoDB 所在的节点的存储网络断网,,P0,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Primary MongoDB 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Primary MongoDB 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Secondary MongoDB 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Secondary MongoDB 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Secondary MongoDB 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 Secondary MongoDB 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,运行 Prometheus 服务的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,运行 Prometheus 服务的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,运行 Prometheus 服务的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,运行 Prometheus 服务的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Siren Leader 所在的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Siren Leader 所在的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Siren Leader 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,Siren Leader 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,NTPm Leader 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,NTPm Leader 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,NTPm Leader 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,NTPm Leader 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 NTPm Follower 所在的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 NTPm Follower 所在的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 NTPm Follower 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个 NTPm Follower 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,集群内 NTP Server 所在的节点的管理网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,集群内 NTP Server 所在的节点的存储网络断网,,P1,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,集群内 NTP Server 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,集群内 NTP Server 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个非集群内 NTP Server 所在的节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个非集群内 NTP Server 所在的节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个非集群内 NTP Server 所在的节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个非集群内 NTP Server 所在的节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个存储节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个存储节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个存储节点的迁移网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,一个存储节点的接入网络断网,,P3,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,任意一个节点的虚拟机网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,任意一个节点的 PCI 直通或 SR-IOV 直通网口断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,双活集群的仲裁节点的管理网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
网络隔离,断网（随机持续时间）,双活集群的仲裁节点的存储网络断网,,P2,Automated,testcases.fault.node.network.fault_iptables_drop_reject,,,,
DNS,"DNS 服务器不可达
（随机持续时间）",ZBS Metad Leader 所在的主节点与 DNS 服务器断连,iptables -I OUTPUT -p udp --dport 53 -j DROP,P2,Automation in Progress,,,,,
,,一个 ZBS Metad Follower 所在的主节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,Zookeeper Leader 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Zookeeper Follower 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS Taskd Leader 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个 ZBS Taskd Follower 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS NTPd Leader 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个 ZBS NTPd Follower 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,Primary MongoDB 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Secondary MongoDB 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,运行 Prometheus 服务的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,Siren Leader 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,NTPm Leader 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个 NTPm Follower 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,集群内 NTP Server 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个非集群内 NTP Server 所在的节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,一个存储节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,双活集群的仲裁节点与 DNS 服务器断连,,P2,Automation in Progress,,,,,
,,集群的全部节点与 DNS 服务器断连,,P3,Automation in Progress,,,,,
NTP,"NTP 服务器不可达
（随机持续时间）",ZBS Metad Leader 所在的主节点与 NTP 服务器断连,iptables -I OUTPUT -p udp --dport 123 -j DROP,P2,Automation in Progress,,,,,
,,一个 ZBS Metad Follower 所在的主节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,Zookeeper Leader 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Zookeeper Follower 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS Taskd Leader 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 ZBS Taskd Follower 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS NTPd Leader 所在的节点与 NTP 服务器断连,,P1,Automation in Progress,,,,,
,,一个 ZBS NTPd Follower 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,Primary MongoDB 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Secondary MongoDB 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,运行 Prometheus 服务的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,Siren Leader 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,NTPm Leader 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 NTPm Follower 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,集群内 NTP Server 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个非集群内 NTP Server 所在的节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,一个存储节点与 NTP 服务器断连,,P2,Automation in Progress,,,,,
,,双活集群的仲裁节点与 NTP 服务器断连,,P3,Automation in Progress,,,,,
,,集群的全部节点与 NTP 服务器断连,,P3,Automation in Progress,,,,,
DHCP,"DHCP 服务器不可达
（随机持续时间）",ZBS Metad Leader 所在的主节点与 DHCP 服务器断连,"iptables -I OUTPUT -p udp --dport 67 -j DROP
iptables -I OUTPUT -p udp --dport 68 -j DROP",P2,Automation in Progress,,,,,
,,一个 ZBS Metad Follower 所在的主节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,Zookeeper Leader 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Zookeeper Follower 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS Taskd Leader 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 ZBS Taskd Follower 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,ZBS NTPd Leader 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 ZBS NTPd Follower 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,Primary MongoDB 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 Secondary MongoDB 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,运行 Prometheus 服务的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,Siren Leader 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,NTPm Leader 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个 NTPm Follower 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,集群内 NTP Server 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个非集群内 NTP Server 所在的节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,一个存储节点与 DHCP 服务器断连,,P2,Automation in Progress,,,,,
,,双活集群的仲裁节点与 DHCP 服务器断连,,P3,Automation in Progress,,,,,
,,集群的全部节点与 DHCP 服务器断连,,P3,Automation in Progress,,,,,
物理交换机故障,交换机断电（随机持续时间）,一个管理网络的交换机断电,,P1,Pending,,,,,
物理交换机故障,,一个存储网络的交换机断电,,P1,Pending,,,,,
物理交换机故障,,一个迁移网络的交换机断电,,P2,Pending,,,,,
物理交换机故障,,一个接入网络的交换机断电,,P3,Pending,,,,,
物理交换机故障,交换机异常重启,一个管理网络的交换机重启一次,,P1,Pending,,,,,
物理交换机故障,,一个管理网络的交换机持续重启 30 分钟,,P2,Pending,,,,,
物理交换机故障,,一个存储网络的交换机重启一次,,P1,Pending,,,,,
物理交换机故障,,一个存储网络的交换机持续重启 30 分钟,,P2,Pending,,,,,
物理交换机故障,,一个迁移网络的交换机重启一次,,P2,Pending,,,,,
物理交换机故障,,一个迁移网络的交换机持续重启 30 分钟,,P2,Pending,,,,,
物理交换机故障,,一个接入网络的交换机重启一次,,P3,Pending,,,,,
物理交换机故障,,一个接入网络的交换机持续重启 30 分钟,,P3,Pending,,,,,
物理交换机故障,交换机 FDB 表存储空间耗尽,一个管理网络的交换机 FDB 表存储空间耗尽,,P3,Pending,,,,,
物理交换机故障,,一个存储网络的交换机 FDB 表存储空间耗尽,,P3,Pending,,,,,
物理交换机故障,,一个迁移网络的交换机 FDB 表存储空间耗尽,,P3,Pending,,,,,
物理交换机故障,,一个接入网络的交换机 FDB 表存储空间耗尽,,P3,Pending,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接管理网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接管理网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接管理网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接管理网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Active）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Backup）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Balance XOR Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux 802.3ab Bonding）,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Active）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Backup）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux Balance XOR Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux 802.3ad Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接管理网络的全部网口同时对端的交换机口断开,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接存储网络的全部网口同时对端的交换机口断开,,P1,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接迁移网络的全部网口同时对端的交换机口断开,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,ZBS Metad Leader 所在的主节点连接接入网络的全部网口同时对端的交换机口断开,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接管理网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接管理网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接管理网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接管理网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Active）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Backup）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux Balance XOR Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接存储网络的一个网口对端的交换机口断开（Linux 802.3ab Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接迁移网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P2,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Active Backup Bonding - Active）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Active Backup Bonding - Backup）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Balance SLB Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Balance TCP Bonding）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Active）,,P3,Plan to Automate,,,,,
物理交换机故障,交换机口断开（随机持续时间）,一个 ZBS Metad Follower 所在的主节点连接接入网络的一个网口对端的交换机口断开（Linux Active Backup Bonding - Backup）,,P3,Plan to Automate,,,,,
